year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2008,Arizona,AZ,880,AZ0100600,Ajo,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2008,Arizona,AZ,932,AZDI06500,Ak-Chin Tribal,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,801,AZ0010000,Apache,59460,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2008,Arizona,AZ,895,AZ0111300,Apache Junction,31521,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2008,Arizona,AZ,924,AZCCHPX00,Arizona Department of Public Safety,0,8D,"Non-MSA counties under 10,000",1,12,0,0,0,1,0
2008,Arizona,AZ,856,AZ0074400,Arizona State Capitol,0,7,"Cities under 2,500",0,0,0,0,0,0,0
2008,Arizona,AZ,858,AZ0078800,Arizona State University: East,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2008,Arizona,AZ,860,AZ0079700,Arizona State University: Main Campus,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,857,AZ0075700,Arizona State University: West,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2008,Arizona,AZ,919,AZ0149700,Arizona Western College,0,7,"Cities under 2,500",0,0,0,0,0,0,0
2008,Arizona,AZ,837,AZ0070100,Avondale,85376,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2008,Arizona,AZ,807,AZ0020100,Benson,4995,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,808,AZ0020300,Bisbee,5958,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,838,AZ0070300,Buckeye,32070,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2008,Arizona,AZ,865,AZ0080500,Bullhead City,41976,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2008,Arizona,AZ,910,AZ0131300,Camp Verde,11011,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,888,AZ0110100,Casa Grande,39928,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2008,Arizona,AZ,898,AZ0119700,Central Arizona College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,839,AZ0070500,Chandler,253076,1C,"Cities from 250,000 thru 499,999",1,12,0,0,0,1,0
2008,Arizona,AZ,909,AZ0131200,Chino Valley,11326,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,903,AZ0130100,Clarkdale,4328,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,834,AZ0060100,Clifton,2354,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,806,AZ0020000,Cochise,49405,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2008,Arizona,AZ,814,AZ0030000,Coconino,53001,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2008,Arizona,AZ,915,AZ0140700,Cocopah Tribal,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,866,AZ0080600,Colorado City,4999,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,928,AZDI05900,Colorado River Agency,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2008,Arizona,AZ,922,AZ0150200,Colorado River Tribal,,,,1,12,0,0,0,1,0
2008,Arizona,AZ,889,AZ0110300,Coolidge,9904,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,904,AZ0130300,Cottonwood,11520,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,809,AZ0020500,Douglas,17007,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,835,AZ0060300,Duncan,743,7,"Cities under 2,500",0,0,0,0,1,1,0
2008,Arizona,AZ,802,AZ0010100,Eagar,4536,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2008,Arizona,AZ,832,AZ0059700,Eastern Arizona College,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2008,Arizona,AZ,840,AZ0070700,El Mirage,27543,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2008,Arizona,AZ,890,AZ0110500,Eloy,12214,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,815,AZ0030100,Flagstaff,60400,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2008,Arizona,AZ,891,AZ0110700,Florence,17880,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2008,Arizona,AZ,931,AZDI06200,Fort Apache Agency,0,7,"Cities under 2,500",1,12,0,0,0,1,0
