"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
18262018,1826,2018,"CO0010000","CO0010000","","N","N",,"I","ADAMS","ADAMS","Adams","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","County",102332,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",319,57,376,50,140,190,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18272018,1827,2018,"CO0010100","CO0010100","","N","N",,"I","AURORA","AURORA","Aurora","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",372824,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",5,"1C","Cities from 250,000 thru 499,999","1","All cities 250,000 or over","Y",1,"R","Y",644,22,666,79,112,191,0,0,01-JAN-92,01-JAN-85,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","DOUGLAS; ADAMS; ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18282018,1828,2018,"CO0010200","CO0010200","","N","N",,"I","BRIGHTON","BRIGHTON","Brighton","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",41613,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",53,4,57,12,22,34,0,0,01-JAN-92,01-SEP-04,01-JAN-06,01-FEB-14,01-JAN-16,01-APR-13,"N","WELD; ADAMS","Denver-Aurora-Lakewood, CO; Greeley, CO","Y","Y","Y"
18292018,1829,2018,"CO0010300","CO0010300","","N","N",,"I","COMMERCE CITY","COMMERCE CITY","Commerce City","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",57474,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",82,15,97,14,21,35,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18302018,1830,2018,"CO0010400","CO0010400","","N","N",,"I","THORNTON","THORNTON","Thornton","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",139697,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",201,9,210,32,71,103,0,0,01-JAN-92,01-JAN-12,01-SEP-12,01-JUL-14,01-FEB-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18312018,1831,2018,"CO0010500","CO0010500","","N","N",,"I","WESTMINSTER","WESTMINSTER","Westminster","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",113751,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",161,20,181,13,53,66,0,0,01-JAN-92,01-JAN-97,01-AUG-04,01-FEB-14,01-JAN-16,01-APR-13,"N","JEFFERSON; ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18322018,1832,2018,"CO0010600","CO0010600","","N","N",,"I","NORTHGLENN","NORTHGLENN","Northglenn","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",39383,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",48,1,49,9,16,25,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-FEB-14,"N","WELD; ADAMS","Denver-Aurora-Lakewood, CO; Greeley, CO","Y","Y","Y"
18342018,1834,2018,"CO0010800","CO0010800","","N","N",,"I","FEDERAL HEIGHTS","FEDERAL HEIGHTS","Federal Heights","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",12929,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,2,27,1,10,11,0,0,01-JAN-92,01-JAN-97,01-FEB-06,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18352018,1835,2018,"CO0011100","CO0011100","","N","N",,"I","UNIV OF CO: DENVER","UNIV OF CO: DENVER","University of Colorado:","Denver","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","University or College",0,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",22,20,42,4,13,17,0,0,01-JAN-92,01-JAN-02,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18362018,1836,2018,"CO0020000","CO0020000","","N","N",,"I","ALAMOSA","ALAMOSA","Alamosa","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","County",6693,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",23,13,36,5,10,15,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ALAMOSA","Non-MSA","Y","Y","Y"
