year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2000,Iowa,IA,4274,IA0010000,Adair,8243,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2000,Iowa,IA,4275,IA0020000,Adams,4482,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2000,Iowa,IA,4331,IA0250200,Adel,3435,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4440,IA0680100,Albia,3706,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4402,IA0550100,Algona,5741,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4276,IA0030000,Allamakee,10544,8C,"Non-MSA counties from 10,000 thru 24,999",0,9,0,9,0,0,0
2000,Iowa,IA,4467,IA0770800,Altoona,10345,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Iowa,IA,4491,IA0850100,Ames,50731,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2000,Iowa,IA,4398,IA0530100,Anamosa,5494,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4460,IA0770100,Ankeny,27117,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2000,Iowa,IA,4278,IA0040000,Appanoose,7797,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2000,Iowa,IA,4305,IA0150100,Atlantic,7257,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4280,IA0050000,Audubon,4448,8D,"Non-MSA counties under 10,000",0,7,0,7,0,0,0
2000,Iowa,IA,4281,IA0050100,Audubon,2382,7,"Cities under 2,500",0,10,0,11,0,0,0
2000,Iowa,IA,4499,IA0870100,Bedford,1620,7,"Cities under 2,500",0,0,0,0,1,1,1
2000,Iowa,IA,4283,IA0060100,Belle Plaine,2878,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Iowa,IA,4526,IA0990200,Belmond,2560,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
