year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2004,Iowa,IA,4463,IA0770400,Urbandale,31980,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2004,Iowa,IA,4503,IA0890000,Van Buren,7804,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2004,Iowa,IA,4284,IA0060200,Vinton,5228,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4504,IA0900000,Wapello,11228,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4506,IA0910000,Warren,17621,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4510,IA0920000,Washington,14110,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4511,IA0920100,Washington,7279,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4288,IA0070300,Waterloo,67291,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2004,Iowa,IA,4332,IA0250400,Waukee,7313,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4277,IA0030100,Waukon,4073,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2004,Iowa,IA,4295,IA0090200,Waverly,9107,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4512,IA0930000,Wayne,6693,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2004,Iowa,IA,4513,IA0940000,Webster,13722,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4365,IA0400100,Webster City,8135,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4342,IA0290200,West Burlington,3073,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4464,IA0770500,West Des Moines,51881,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2004,Iowa,IA,4445,IA0700200,West Liberty,3474,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2004,Iowa,IA,4352,IA0330200,West Union,2501,6,"Cities from 2,500 thru 9,999",0,8,0,8,0,0,0
2004,Iowa,IA,4383,IA0480300,Williamsburg,2720,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4446,IA0700400,Wilton,2847,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4465,IA0770600,Windsor Heights,4709,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4515,IA0950000,Winnebago,7593,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2004,Iowa,IA,4518,IA0960000,Winneshiek,13233,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4422,IA0610100,Winterset,4755,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2004,Iowa,IA,4520,IA0970000,Woodbury,15710,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2004,Iowa,IA,4523,IA0980000,Worth,7800,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2004,Iowa,IA,4524,IA0990000,Wright,4868,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
