year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2009,Iowa,IA,4395,IA0520400,University of Iowa,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2009,Iowa,IA,4289,IA0070700,University of Northern Iowa,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2009,Iowa,IA,4463,IA0770400,Urbandale,39518,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2009,Iowa,IA,4503,IA0890000,Van Buren,7650,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2009,Iowa,IA,4284,IA0060200,Vinton,5078,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4504,IA0900000,Wapello,11131,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4506,IA0910000,Warren,18057,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4510,IA0920000,Washington,14108,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4511,IA0920100,Washington,7276,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4288,IA0070300,Waterloo,66436,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2009,Iowa,IA,4332,IA0250400,Waukee,13558,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4277,IA0030100,Waukon,3885,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2009,Iowa,IA,4295,IA0090200,Waverly,9334,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4512,IA0930000,Wayne,6194,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2009,Iowa,IA,4513,IA0940000,Webster,13220,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4365,IA0400100,Webster City,7672,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4342,IA0290200,West Burlington,3298,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4464,IA0770500,West Des Moines,56400,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2009,Iowa,IA,4445,IA0700200,West Liberty,3685,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4352,IA0330200,West Union,2416,7,"Cities under 2,500",1,12,1,12,0,1,1
2009,Iowa,IA,4383,IA0480300,Williamsburg,2831,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4446,IA0700400,Wilton,2820,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4465,IA0770600,Windsor Heights,4616,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4515,IA0950000,Winnebago,7097,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2009,Iowa,IA,4518,IA0960000,Winneshiek,12964,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4422,IA0610100,Winterset,4825,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2009,Iowa,IA,4520,IA0970000,Woodbury,15604,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2009,Iowa,IA,4523,IA0980000,Worth,7624,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2009,Iowa,IA,4524,IA0990000,Wright,4497,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
