year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2012,Colorado,CO,2016,CO0428000,22nd Judicial District Drug Task Force,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1826,CO0010000,Adams,93542,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2012,Colorado,CO,1838,CO0020200,Adams State University,0,7,"Cities under 2,500",0,0,0,0,0,0,0
2012,Colorado,CO,23192,CO0622900,Aims Community College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2088,CO0610100,Akron,1711,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1836,CO0020000,Alamosa,6866,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,1837,CO0020100,Alamosa,9061,6,"Cities from 2,500 thru 9,999",0,1,0,1,0,0,0
2012,Colorado,CO,2039,CO0470200,Alma,272,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1881,CO0110100,Antonito,796,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1839,CO0030000,Arapahoe,88466,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2012,Colorado,CO,1848,CO0030900,Arapahoe Community College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1852,CO0040000,Archuleta,10438,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1959,CO0300100,Arvada,109029,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2012,Colorado,CO,2044,CO0490100,Aspen,6734,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2102,CO0621200,Ault,1577,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1899,CO0160200,Auraria Higher Education Center,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1827,CO0010100,Aurora,336952,1C,"Cities from 250,000 thru 499,999",1,12,1,12,0,1,1
2012,Colorado,CO,1914,CO0190600,Avon,6453,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1855,CO0050000,Baca,1707,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,1913,CO0190400,Basalt,3889,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1981,CO0340400,Bayfield,2394,7,"Cities under 2,500",0,1,0,1,0,0,0
2012,Colorado,CO,1860,CO0060000,Bent,6336,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,1985,CO0350100,Berthoud,5278,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1942,CO0240200,Black Hawk,120,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2082,CO0590500,Blue River,860,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1863,CO0070100,Boulder,100257,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2012,Colorado,CO,1862,CO0070000,Boulder,60123,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2012,Colorado,CO,1845,CO0030600,Bow Mar,894,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2078,CO0590100,Breckenridge,4600,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1828,CO0010200,Brighton,34540,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2012,Colorado,CO,1864,CO0070200,Broomfield,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,2113,CO0640100,Broomfield,58145,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2012,Colorado,CO,2024,CO0440100,Brush,5365,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1872,CO0080100,Buena Vista,2674,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1972,CO0320100,Burlington,4130,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1928,CO0211000,Calhan,809,7,"Cities under 2,500",0,0,0,0,0,0,0
2012,Colorado,CO,1858,CO0050300,Campo,111,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1930,CO0220100,Canon City,16727,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1936,CO0230400,Carbondale,6501,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1905,CO0180100,Castle Rock,50038,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2012,Colorado,CO,1896,CO0150400,Cedaredge,2247,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1849,CO0031100,Centennial,104022,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2012,Colorado,CO,2068,CO0550100,Center,2311,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1941,CO0240100,Central City,676,7,"Cities under 2,500",0,1,0,1,0,0,0
2012,Colorado,CO,1871,CO0080000,Chaffee,10159,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1850,CO0031200,Chatfield State Park,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1851,CO0031300,Cherry Creek State Park,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,1
2012,Colorado,CO,1844,CO0030500,Cherry Hills Village,6206,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1874,CO0090000,Cheyenne,1902,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,1875,CO0090100,Cheyenne Wells,876,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1876,CO0100000,Clear Creek,6088,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,2006,CO0390900,Collbran,719,7,"Cities under 2,500",0,0,0,0,0,0,0
2012,Colorado,CO,2114,COCBI0000,Colorado Bureau of Investigation,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1907,CO0180600,Colorado Division of Parks and Recreation Law Enforcement,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,2052,CO0510200,Colorado Mental Health Institute,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1966,CO0300800,Colorado School of Mines,0,7,"Cities under 2,500",0,0,0,0,0,0,0
2012,Colorado,CO,1920,CO0210100,Colorado Springs,432287,1C,"Cities from 250,000 thru 499,999",1,12,1,12,0,1,1
2012,Colorado,CO,2116,COCSP1700,Colorado State Patrol Cortez,0,8D,"Non-MSA counties under 10,000",0,0,0,0,1,1,1
2012,Colorado,CO,2117,COCSPNO00,Colorado State Police Cattle-Theft,0,8D,"Non-MSA counties under 10,000",0,0,0,0,1,1,1
2012,Colorado,CO,1989,CO0350500,"Colorado State University, Fort Collins",0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2053,CO0510300,Colorado State University: Pueblo,0,7,"Cities under 2,500",0,0,0,0,0,0,0
2012,Colorado,CO,1847,CO0030800,Columbine Valley,1302,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1829,CO0010300,Commerce City,47590,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2012,Colorado,CO,1880,CO0110000,Conejos,8406,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,2013,CO0420100,Cortez,8568,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1886,CO0120000,Costilla,3713,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,2010,CO0410100,Craig,9357,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2008,CO0400100,Creede,292,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1952,CO0260300,Crested Butte,1517,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2085,CO0600200,Cripple Creek,1206,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1888,CO0130000,Crowley,5815,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,1890,CO0140000,Custer,4263,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,2098,CO0620800,Dacono,4308,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2004,CO0390400,De Beque,512,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2059,CO0530200,Del Norte,1706,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1892,CO0150000,Delta,17346,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1893,CO0150100,Delta,8890,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2022,CO0438000,Delta Montrose Drug Task Force,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1897,CO0160000,Denver,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,1
2012,Colorado,CO,2119,CODPD0000,Denver,628545,1B,"Cities from 500,000 thru 999,999",1,12,1,12,0,1,1
2012,Colorado,CO,1833,CO0010700,Derby,7927,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,1
2012,Colorado,CO,2079,CO0590200,Dillon,927,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2011,CO0410200,Dinosaur,335,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1901,CO0160500,Division of Wildlife,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,1
2012,Colorado,CO,1902,CO0170000,Dolores,2084,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2012,Colorado,CO,2015,CO0420500,Dolores,946,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1904,CO0180000,Douglas,187528,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2012,Colorado,CO,1903,CO0170100,Dove Creek,742,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1978,CO0340100,Durango,17305,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1970,CO0310100,Eads,633,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1911,CO0190200,Eagle,6555,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1909,CO0190000,Eagle,30236,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2012,Colorado,CO,2093,CO0620300,Eaton,4529,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1961,CO0300300,Edgewater,5294,6,"Cities from 2,500 thru 9,999",0,5,0,5,0,0,0
2012,Colorado,CO,1915,CO0200000,Elbert,20748,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1916,CO0200100,Elizabeth,1381,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1919,CO0210000,El Paso,171761,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2012,Colorado,CO,1879,CO0100300,Empire,284,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1840,CO0030100,Englewood,31358,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2012,Colorado,CO,2097,CO0620700,Erie,18761,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1986,CO0350200,Estes Park,6059,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2094,CO0620400,Evans,19236,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,2038,CO0470100,Fairplay,684,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1834,CO0010800,Federal Heights,11886,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,2108,CO0621800,Firestone,10529,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1974,CO0320300,Flagler,576,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1999,CO0380200,Fleming,413,7,"Cities under 2,500",0,0,0,0,1,1,1
2012,Colorado,CO,1931,CO0220200,Florence,3960,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,1987,CO0350300,Fort Collins,148792,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2012,Colorado,CO,1982,C0034019E,Fort Lewis College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,2091,CO0620100,Fort Lupton,7655,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2012,Colorado,CO,2025,CO0440200,Fort Morgan,11586,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2012,Colorado,CO,1921,CO0210200,Fountain,26841,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2012,Colorado,CO,2033,CO0450400,Fowler,1201,7,"Cities under 2,500",1,12,1,12,0,1,1
2012,Colorado,CO,1948,CO0250400,Fraser/Winter Park,2209,7,"Cities under 2,500",0,0,0,0,0,0,0
